SR_NUMBER,SR_TYPE,SR_SHORT_CODE,OWNER_DEPARTMENT,STATUS,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-00501962,Garbage Cart Maintenance,SIE,Streets and Sanitation,Open,03/28/2022 1:11:17 PM,03/28/2022 1:11:18 PM,,2239 S WOOD ST,,,60608,2239,S,WOOD,ST,FALSE,FALSE,,,31,25,,L027,3,10,1034,15,,13,2,3,1164793.891,1889022.288,41.85109334,-87.67066196,"(41.85109333805944°, -87.67066195553066°)"
SR22-00501961,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:11:14 PM,03/28/2022 1:11:15 PM,03/28/2022 1:11:15 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501960,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:11:07 PM,03/28/2022 1:11:08 PM,,4633 W LEXINGTON ST,,,60644,4633,W,LEXINGTON,ST,FALSE,FALSE,,,25,24,,E024,3,11,1131,41,,13,2,3,1145471.526,1896253.891,41.87132507,-87.74139687,"(41.87132506825986°, -87.74139686909588°)"
SR22-00501959,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:11:05 PM,03/28/2022 1:11:05 PM,03/28/2022 1:11:05 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501958,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:11:03 PM,03/28/2022 1:11:04 PM,03/28/2022 1:11:03 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501956,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:10:49 PM,03/28/2022 1:10:51 PM,,2471 W CULLOM AVE,,,60618,2471,W,CULLOM,AVE,TRUE,FALSE,,SR22-00501924,5,47,,J012,1,19,1911,21,,13,2,3,1158847.194,1928407.528,41.95929352,-87.69140594,"(41.959293519465064°, -87.69140593860695°)"
SR22-00501955,Alley Pothole Complaint,PHB,CDOT - Department of Transportation,Completed,03/28/2022 1:10:36 PM,03/28/2022 1:11:33 PM,03/28/2022 1:11:33 PM,6134 N MELVINA AVE,,,60646,6134,N,MELVINA,AVE,FALSE,FALSE,,,10,39,,A007,1,16,1611,20,,13,2,3,1133859.371,1940642.801,41.99334515,-87.78298408,"(41.99334515275302°, -87.78298407460603°)"
SR22-00501953,Garbage Cart Maintenance,SIE,Streets and Sanitation,Open,03/28/2022 1:10:13 PM,03/28/2022 1:10:14 PM,,2137 N MOODY AVE,,,60639,2137,N,MOODY,AVE,FALSE,FALSE,,,19,36,,A017,1,25,2512,5,,13,2,3,1135131.286,1913556.127,41.91899406,-87.77894996,"(41.91899405811869°, -87.7789499589548°)"
SR22-00501952,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:10:12 PM,03/28/2022 1:10:12 PM,03/28/2022 1:10:12 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501951,Consumer Fraud Complaint,CSF,BACP - Business Affairs and Consumer Protection,Open,03/28/2022 1:10:05 PM,03/28/2022 1:10:20 PM,,1631 W BERWYN AVE,,,60640,1631,W,BERWYN,AVE,FALSE,FALSE,,,77,40,,L009,1,20,2012,31,,13,2,3,1164366.659,1935187.666,41.97778324,-87.67092134,"(41.977783238781846°, -87.67092134437873°)"
SR22-00501950,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:10:00 PM,03/28/2022 1:10:00 PM,03/28/2022 1:10:00 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501949,Garbage Cart Maintenance,SIE,Streets and Sanitation,Open,03/28/2022 1:09:58 PM,03/28/2022 1:10:00 PM,,2256 W 50TH PL,,,60609,2256,W,50TH,PL,FALSE,FALSE,,,63,15,,K033,3,9,931,19,,13,2,3,1161930.642,1871210.539,41.80227602,-87.68166658,"(41.80227602236328°, -87.6816665794999°)"
SR22-00501948,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:09:38 PM,03/28/2022 1:09:39 PM,,6616 N ROCKWELL ST,,,60645,6616,N,ROCKWELL,ST,FALSE,FALSE,,,2,50,,J006,1,24,2412,20,,13,2,3,1157757.167,1943916.124,42.00187218,-87.69498844,"(42.001872181290295°, -87.69498844036333°)"
SR22-00501947,Sidewalk Inspection Request,PBS,CDOT - Department of Transportation,Open,03/28/2022 1:09:34 PM,03/28/2022 1:09:36 PM,,10337 S EBERHART AVE,,,60628,10337,S,EBERHART,AVE,FALSE,FALSE,,,49,9,,R047,1,5,512,14,,13,2,3,1181477.435,1836380.415,41.70626937,-87.61105314,"(41.70626937086912°, -87.61105313918907°)"
SR22-00501936,Sign Repair Request - All Other Signs,PCE,CDOT - Department of Transportation,Completed,03/28/2022 1:09:15 PM,03/28/2022 1:10:25 PM,03/28/2022 1:10:25 PM,1402 W BERTEAU AVE,,,60613,1402,W,BERTEAU,AVE,FALSE,FALSE,,,6,47,,M012,1,19,1912,18,,13,2,3,1166063.061,1928027.174,41.95809842,-87.66488831,"(41.95809841606245°, -87.66488831318485°)"
SR22-00501934,Graffiti Removal Request,GRAF,Streets and Sanitation,Open,03/28/2022 1:09:12 PM,03/28/2022 1:09:13 PM,,5505 S HARPER AVE,,,60637,5505,S,HARPER,AVE,FALSE,FALSE,,,41,5,,T035,3,2,235,8,,13,2,3,1187478.608,1868773.639,41.79501926,-87.5880499,"(41.79501926278042°, -87.58804989929175°)"
SR22-00501933,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:08:51 PM,03/28/2022 1:08:53 PM,,6541 N TALMAN AVE,,,60645,6541,N,TALMAN,AVE,FALSE,FALSE,,,2,50,,J006,1,24,2412,36,,13,2,3,1157549.091,1943486.378,42.0006972,-87.6957657,"(42.000697196737775°, -87.69576569966891°)"
SR22-00501932,Sign Repair Request - All Other Signs,PCE,CDOT - Department of Transportation,Completed,03/28/2022 1:08:48 PM,03/28/2022 1:11:04 PM,03/28/2022 1:11:04 PM,1700 W PETERSON AVE,,,60660,1700,W,PETERSON,AVE,FALSE,FALSE,,,77,40,,L007,3,24,2433,27,,13,2,3,1164087.643,1939949.463,41.99085568,-87.67181217,"(41.99085568398779°, -87.67181216825702°)"
SR22-00501930,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:08:44 PM,03/28/2022 1:08:44 PM,03/28/2022 1:08:44 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501929,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:08:36 PM,03/28/2022 1:08:37 PM,,1610 N CLARK ST,,,60614,1610,N,CLARK,ST,FALSE,FALSE,,,7,2,,P018,1,18,1814,33,,13,2,3,1175144.466,1911153.192,41.9115964,-87.6320096,"(41.91159639953842°, -87.63200959551043°)"
SR22-00501928,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:08:30 PM,03/28/2022 1:08:31 PM,,9600 S AVENUE N,,,60617,9600,S,AVENUE N,,FALSE,FALSE,,,52,10,,Y045,3,4,432,26,,13,2,3,1200986.829,1841976.839,41.72115518,-87.5394232,"(41.72115517894901°, -87.53942319899305°)"
SR22-00501927,Garbage Cart Maintenance,SIE,Streets and Sanitation,Open,03/28/2022 1:08:19 PM,03/28/2022 1:08:20 PM,,3243 W CORTEZ ST,,,60651,3243,W,CORTEZ,ST,FALSE,FALSE,,,23,26,,H020,2,11,1121,10,,13,2,3,1154348.308,1906740.2,41.89992795,-87.7085263,"(41.899927951677235°, -87.70852630226354°)"
